Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1wl873hxdkhhjalt86zgmyphfzlt2kl39kf4x2a,99.99,0,False,699443,699365,78,70395,11,692905.0,1024.0
storyvaloper1kz2cgurfhgege6zqnk8vwupwzqcjry0du23g4z,99.99,0,False,699078,699016,62,70408,8,667607.0,1024.0
storyvaloper1hvavwqtnjw5m3vtkzgm62kwsfjkhwq7h8m4azm,99.99,0,False,296242,296206,36,1397,2,119990.0,19990.0
storyvaloper1c58gr53xrf6ktwtr8vwmzxyfz2xzzaaz8rrw68,99.99,0,False,296242,296199,43,1405,2,119990.0,19990.0
storyvaloper1zrkjleyv9c4rp5u24cyn6j08ahypep35r4uk3k,99.98,0,False,296242,296176,66,1399,2,119998.0,19998.0
storyvaloper13el67lyw2qpacpuzha9e7p3rpjg8jl8tmecq2q,99.98,0,False,296242,296179,63,1406,2,120035.0,20035.0
storyvaloper1pdj0z84lau0l7vf2jl4qs7yggv48p3avy82spr,99.97,0,False,699443,699242,201,70473,5,680768.0,1024.0
storyvaloper1z0uqv8xrw2j23mlcpmzatt3jj9hzezdq08ar8t,99.97,0,False,699443,699211,232,69361,11,566126.8,6144.0
storyvaloper1xa3rd3vs28jym7pwcacf2t3cgpl590zj6eyuhq,99.97,0,False,296242,296150,92,1424,2,119948.0,19948.0
storyvaloper12vrh9n58r2ftpdjfjj7j4ghfw76sx9c4e45yxl,99.97,0,False,296242,296140,102,1411,2,119991.0,19991.0
storyvaloper1wte6l2r6xh3l6xus8ug0u36xya0cltclyuqy75,99.97,0,False,296242,296150,92,1410,2,120024.0,20024.0
storyvaloper1htkcu0adnlfqg4l29t2n5cc6l2nywle6qyqdr9,99.97,0,False,296242,296142,100,1403,2,118024.0,18024.0
storyvaloper1ml7wkkeuupt9syle0zszvst88632mz8g3aahpy,99.97,0,False,296242,296165,77,1402,2,119989.0,19989.0
storyvaloper1rfnera4cjh83fahr62dlfz2n9yf42v45nltkwy,99.96,0,False,296242,296134,108,1391,2,119900.0,19900.0
storyvaloper1the6ag95nrgg0h6pw3nzxdf4zv4e4uws0x3yln,99.96,0,False,296242,296113,129,1310,2,111024.0,11024.0
storyvaloper13tm6a04err3yzasegk4agqgqfgtt048yhs8hs6,99.96,0,False,296242,296125,117,1398,2,119888.0,19888.0
storyvaloper1enja57p5uhknfynelkkvc64nraeh3hy4p9rxz9,99.96,0,False,296242,296122,120,1424,2,120024.0,20024.0
storyvaloper16nwswhexfkv36f57um68td5j7mtsf9j4wfj4dn,99.96,0,False,296242,296127,115,1198,2,102042.0,1024.0
storyvaloper1mg5wjz3kta5dfqxc93hv9hjg0cha53l97ne3z4,99.96,0,False,296242,296112,130,1403,2,119994.0,19994.0
storyvaloper1lgexam6a80s5yj270tdw7erc54s9xzat7yaama,99.96,0,False,296242,296128,114,1402,2,118939.9,18939.9
storyvaloper1ymsmqlx54g33msau9x98my03p9hd36djvkylqd,99.95,0,False,296242,296095,147,1412,3,121019.0,19995.0
storyvaloper1tnhycpfuzsm4l7l6t3qsy5j2lged8ec8eyft2k,99.95,0,False,296242,296104,138,1414,2,120024.0,20024.0
storyvaloper1tcrwtm792svad9nfkxumyesakx80t2ha4txfns,99.95,0,False,296242,296082,160,1400,2,119999.0,19999.0
storyvaloper1v8pyhyc8npkkl04tpt7uwmev3plpndvwh04qq7,99.95,0,False,296242,296100,142,1879,1,159024.0,159024.0
storyvaloper1d4kf8mu5e84xkqespxc87z5ds8yf26t7p3apqd,99.95,0,False,184673,184573,100,950,2,99873.0,98848.0
storyvaloper13k24q8a30twnuzkpsk9c95xhs7cwdfckx9d9e7,99.95,0,False,296242,296094,148,1416,2,119024.0,19024.0
storyvaloper13hzy82h0cg9xjc0xhc8u28de92ntdjlae3te6u,99.95,0,False,296242,296107,135,1396,2,119995.0,19995.0
storyvaloper14vnfjngu4y2ywga0aunvtaqupngqt2cr9qwz22,99.95,0,False,296086,295934,152,1180,1,100548.0,100548.0
storyvaloper1hcndmwxa0dmdvkzxlxlvdxd033n5jcmh6afkjh,99.95,0,False,296242,296100,142,1396,2,119990.0,19990.0
storyvaloper1cvsdp0tsz25fhedd7cjvntq42347astvar06v8,99.95,0,False,296242,296089,153,1420,2,119550.0,19550.0
storyvaloper1u0jw7jnesvqr55fxfmjycm5uxv9w6mjtfzkwdf,99.95,0,False,82924,82879,45,49,1,100000.0,0.0
storyvaloper1826z0gntznjlcpa4weu55uvtp5mmd62ns05gyq,99.94,0,False,296242,296059,183,1396,2,119948.0,19948.0
storyvaloper1g8lyk7xtfxahjdkta5jcazwc2pz7ht8ucj9wzl,99.94,0,False,296242,296070,172,1399,2,119994.0,19994.0
storyvaloper1wh896802py6w66ymexxqdduf0d4jq4zw04yqzr,99.94,0,False,296242,296066,176,1402,2,119548.0,19548.0
storyvaloper1qxs6uh58zlh0pc59er06xvj53rz0mn9hpfgv25,99.93,0,False,296242,296031,211,1420,2,119900.0,19900.0
storyvaloper187xp6lza085qvj28cpnp55vaexldtlnggkplkx,99.93,0,False,296242,296041,201,1404,2,119001.0,19001.0
storyvaloper16exhdc2hzrtralnk5meca08nd8kfeu00kvxgs3,99.93,0,False,296242,296037,205,1395,2,119500.0,19500.0
storyvaloper16a8rgcx9287q0nusu7frw7n3yrk9hlpn0re0ht,99.93,0,False,296242,296021,221,1403,2,121072.0,21072.0
storyvaloper1765xe28ktlpkxvwsndx4aswx2rwxt24v7lx4u7,99.93,0,False,296242,296045,197,1419,2,119890.0,19890.0
storyvaloper1xx42vsmgccj96hnfw5tumtf062c09z678pg46l,99.92,0,False,296242,295995,247,1370,2,115953.0,15953.0
storyvaloper1d0k6pzc6kpvfwguqwxer87aef5njrqngdgasu0,99.92,0,False,296242,296012,230,1399,2,119995.0,19995.0
storyvaloper10llgt50kejk7exvsvkr5wysr7vqdrmdmwfd37e,99.92,0,False,296242,295999,243,1410,2,119970.0,19970.0
storyvaloper1cn4agxuv5zl96tw3l89w9x89rv6mjcqadcx9y3,99.92,0,False,296242,296008,234,1392,2,119998.0,19998.0
storyvaloper1u30x96px5t3q3kl4n6d0d5sl52zkw5vqylp9fz,99.92,0,False,296242,296016,226,1364,2,115024.0,15024.0
storyvaloper1qzlsuhxyggc58dakmk92420slnsares5c3mk6k,99.91,0,False,699443,698779,664,69508,3,540481.0,2049.0
storyvaloper1r62nlglv96dqhqhsc2dq3tfydh7kp2pq8f7w07,99.91,0,False,296242,295979,263,1410,2,119997.0,19997.0
storyvaloper18cvm8frrckjwfshqdg6p63pzwy9dxvsrlup8kk,99.91,0,False,296242,295979,263,1405,2,119990.0,19990.0
storyvaloper12s7mczq0gsvzyav5sleje29pped8mpgcprr9r2,99.91,0,False,699443,698840,603,69411,4,545602.0,5121.0
storyvaloper19t6g3988z2zhwv9xzzdn9zn0ddsserwln3sjn8,99.9,0,False,296242,295931,311,1410,2,120000.0,20000.0
storyvaloper18m7p3puy2scyqp83369nhlmmerk3vmgs4rngfc,99.9,0,False,296242,295935,307,1305,2,110000.0,10000.0
storyvaloper13kvhv7fny79pdnksuq229ndc0ylnl3wcc697da,99.9,0,False,296242,295931,311,1310,2,111000.0,11000.0
storyvaloper15a4fph700vr0t0arfsrleeyh4al9087ee3evct,99.9,0,False,296242,295934,308,1393,2,120524.0,20524.0
storyvaloper1999gqujrmash4r8k256vdgpurd3h7067dvxtun,99.89,0,False,296242,295906,336,1280,2,110000.0,10000.0
storyvaloper19320qvhvyy0gqgmxjewt6hrpmun5tac6sp2f76,99.89,0,False,296242,295925,317,1402,2,119995.0,19995.0
storyvaloper1d055v5vthzzf37n5rltkr2luka7xulq95w25a4,99.89,0,False,296242,295909,333,1641,2,138993.0,38993.0
storyvaloper1ttetgy8a5lcr78py460pm6cjr83jcnud26jff9,99.88,0,False,296242,295900,342,1405,2,119900.0,19900.0
storyvaloper1wv2wuyk00y6fscxnyc5m7j9fr4vpwj4thq3kt9,99.88,0,False,296242,295896,346,1392,2,119990.0,19990.0
storyvaloper10p94srhdxunq2vcnx6t42zwl8365v0ac9jrvl7,99.88,0,False,296242,295872,370,1412,2,119500.0,19500.0
storyvaloper13cm9skv9yq6s983axr4hyy45awcaxtwtqsj8tu,99.88,0,False,296242,295891,351,1380,2,119000.0,19000.0
storyvaloper1cu3ua6279lk9w2kxlulzr2ttyzpxd5hytyfc4y,99.88,0,False,296242,295881,361,1297,2,111000.0,11000.0
storyvaloper1egge9775vhypgsgd9mqq2uw3q5gqut708hj57y,99.88,0,False,296242,295879,363,1304,2,109999.0,9999.0
storyvaloper1upyt7dr96p2ffl62ecwypeglqvk7596a3xrmvn,99.88,0,False,296242,295883,359,1418,2,120024.0,20024.0
storyvaloper1l7wq80kk7j7e84ml7mzdhrxd66xufm7pvunwj6,99.88,0,False,296242,295890,352,1394,2,119990.0,19990.0
storyvaloper1x4e6l5dgfap6yhpdeg4a28dad0lfgg39nypxlt,99.87,0,False,296242,295852,390,1415,2,119984.0,19984.0
storyvaloper1dzw4c607cnqnxe0djvr5a8chjm0h99yjxl7tpy,99.87,0,False,296242,295854,388,1395,2,119995.1,19995.1
storyvaloper1sp0u3967vczunl25sxh8ftk7hrex8qe74czqks,99.87,0,False,296242,295849,393,1390,2,119000.0,19000.0
storyvaloper1ckj7xq5uk44tqh9sty8qct9cz3hemh0zgyktar,99.87,0,False,296242,295856,386,1393,2,119997.0,19997.0
storyvaloper1qxhdqgsmm6vlrfrn594mm46qqenu52cckwa6cc,99.86,0,False,296242,295813,429,1412,2,119950.0,19950.0
storyvaloper12smnjtdaxdks6zhkxddg3jw5fj9lsruzauwjap,99.86,0,False,296242,295834,408,1412,2,119925.0,19925.0
storyvaloper12e6dh28hq7hd2qwd6v992uwr5ukrmq2xeup4ep,99.86,0,False,296242,295820,422,1199,2,101030.0,1030.0
storyvaloper1s5j9d80stg70pdg2jan9ea5ln9zcdraarqjark,99.86,0,False,296242,295836,406,1410,2,119650.0,19650.0
storyvaloper1xcmr77ya82eqjp2nkcv5s9mdcuh2tmxav9d9l7,99.85,0,False,296242,295789,453,1784,2,151824.0,1024.0
storyvaloper1ecsq9zy0huqvjkuvqewtzea3dtvc5j4hzqju9a,99.85,0,False,296242,295791,451,1415,2,119974.0,19974.0
storyvaloper1l6m9y6l064mp7hvzt3vqg3fnuu6vx0lkn50udf,99.85,0,False,296242,295808,434,1389,2,119000.0,19000.0
storyvaloper1d0g7xp0qu2dxlqps65cfzz4hx98tncs57qa95t,99.84,0,False,296242,295757,485,2380,5,202092.0,1024.0
storyvaloper1spgujf9pjjtp8qrlvuucdd6cxfe7xs7858k7z5,99.84,0,False,296242,295781,461,1418,2,119999.0,19999.0
storyvaloper1gnkssjh2nva4z0yvv7megl25hmmvg9csvggt0h,99.83,0,False,296242,295744,498,1399,2,119993.0,19993.0
storyvaloper1fh06ygln2lndkvnvswrtc9v2j82m58tzceux6u,99.83,0,False,296242,295743,499,1400,2,119000.0,19000.0
storyvaloper1nsnf4gmwc46clml3w37nz2yd9340rj23qd5emc,99.83,1,True,240366,239958,408,1019,2,113904.1,18904.0
storyvaloper1x9c7xr8x4du2e926cgztthaq8cydnvcvvypesa,99.82,0,False,296242,295701,541,1413,2,119924.0,19924.0
storyvaloper15m5s09ptvuyrmmml5g7e2xg7hrewp3x5cdufu4,99.81,0,False,296242,295689,553,1399,2,119950.0,19950.0
storyvaloper16qcd4vf5y8getfsc2a8amww8kawqrcwpmwrpua,99.79,0,False,296242,295608,634,1398,2,119999.0,19999.0
storyvaloper1wwmwvr4qc8206chufegztl76089wqjjh42vvrl,99.78,0,False,55876,55754,122,167,1,50000.0,50000.0
storyvaloper16xg48zr4m6unpwqd6c9q2uj4t3nrllqp8tw02u,99.78,0,False,296242,295584,658,1410,2,119999.0,19999.0
storyvaloper1f55pj65qp0rufg2y5u47hz98gtf6jzpts8lpgy,99.77,0,False,296242,295561,681,1394,2,119998.0,19998.0
storyvaloper1v7v69m6hdz3ydewanqwypzzxekrsqujqydu9n9,99.73,0,False,296242,295428,814,1383,2,119000.0,19000.0
storyvaloper1s5gd8td90j2cgn9h9we2zpnn0kesespp7nfpfv,99.7,0,False,296242,295357,885,1295,2,110000.0,10000.0
storyvaloper18j8r0grm4yh7lfqvftaxdurum2gdnh567yt3s0,99.65,0,False,296242,295214,1028,1389,2,119990.0,19990.0
storyvaloper1achxz26kc2mn8458vc2evllnrd9s2mr42vyajk,99.63,0,False,296242,295154,1088,1401,2,119995.0,19995.0
storyvaloper1zsw5cflczjxrk5ps5lj20dzua94pjdn72guhyn,99.6,0,False,296242,295056,1186,1392,2,117949.0,17949.0
storyvaloper1n9ft9mx5q0amlwextftwpehxe082sj2sj8tzrk,99.6,0,False,296242,295067,1175,1408,2,119998.0,19998.0
storyvaloper16h45lp8ydnt5e5307n8r3dkzxnvunm548qxpgu,99.6,0,False,296242,295044,1198,1392,2,119995.0,19995.0
storyvaloper1fuxw9xujuw08cw6ujqx6upw6ja8zcerwsdn224,99.58,0,False,296242,294990,1252,1170,2,101024.0,1024.0
